,before_days,average_count,SVVD,FLOW
0,0.0,10.181818181818182,IC10-Q40-106 S,新港_南沙
1,1.0,25.272727272727273,IC10-Q40-106 S,新港_南沙
2,2.0,30.727272727272727,IC10-Q40-106 S,新港_南沙
3,3.0,23.545454545454547,IC10-Q40-106 S,新港_南沙
4,4.0,11.545454545454545,IC10-Q40-106 S,新港_南沙
5,5.0,15.727272727272727,IC10-Q40-106 S,新港_南沙
6,6.0,4.818181818181818,IC10-Q40-106 S,新港_南沙
7,7.0,2.4545454545454546,IC10-Q40-106 S,新港_南沙
8,8.0,7.7272727272727275,IC10-Q40-106 S,新港_南沙
9,9.0,2.909090909090909,IC10-Q40-106 S,新港_南沙
10,10.0,1.7272727272727273,IC10-Q40-106 S,新港_南沙
11,11.0,5.636363636363637,IC10-Q40-106 S,新港_南沙
12,12.0,1.4545454545454546,IC10-Q40-106 S,新港_南沙
13,13.0,1.7272727272727273,IC10-Q40-106 S,新港_南沙
14,14.0,2.090909090909091,IC10-Q40-106 S,新港_南沙
15,15.0,2.8181818181818183,IC10-Q40-106 S,新港_南沙
16,17.0,0.5454545454545454,IC10-Q40-106 S,新港_南沙
17,18.0,1.5454545454545454,IC10-Q40-106 S,新港_南沙
18,19.0,0.18181818181818182,IC10-Q40-106 S,新港_南沙
0,0.0,17.344827586206897,IC15-CAH-191 S,营口_南沙
1,1.0,4.137931034482759,IC15-CAH-191 S,营口_南沙
2,2.0,3.3793103448275863,IC15-CAH-191 S,营口_南沙
3,3.0,3.6551724137931036,IC15-CAH-191 S,营口_南沙
4,4.0,2.6206896551724137,IC15-CAH-191 S,营口_南沙
5,5.0,1.3103448275862069,IC15-CAH-191 S,营口_南沙
6,6.0,1.5172413793103448,IC15-CAH-191 S,营口_南沙
7,7.0,2.9655172413793105,IC15-CAH-191 S,营口_南沙
8,8.0,1.896551724137931,IC15-CAH-191 S,营口_南沙
9,9.0,0.4482758620689655,IC15-CAH-191 S,营口_南沙
10,10.0,0.06896551724137931,IC15-CAH-191 S,营口_南沙
11,16.0,0.034482758620689655,IC15-CAH-191 S,营口_南沙
12,18.0,0.034482758620689655,IC15-CAH-191 S,营口_南沙
0,-7.0,0.09090909090909091,IC8-TNH-352 S,营口_宁波
1,-6.0,0.2727272727272727,IC8-TNH-352 S,营口_宁波
2,-5.0,3.0,IC8-TNH-352 S,营口_宁波
3,-4.0,6.363636363636363,IC8-TNH-352 S,营口_宁波
4,-3.0,5.0,IC8-TNH-352 S,营口_宁波
5,-2.0,3.909090909090909,IC8-TNH-352 S,营口_宁波
6,-1.0,2.6363636363636362,IC8-TNH-352 S,营口_宁波
7,0.0,27.727272727272727,IC8-TNH-352 S,营口_宁波
8,1.0,6.0,IC8-TNH-352 S,营口_宁波
9,2.0,26.545454545454547,IC8-TNH-352 S,营口_宁波
10,3.0,36.54545454545455,IC8-TNH-352 S,营口_宁波
11,4.0,40.09090909090909,IC8-TNH-352 S,营口_宁波
12,5.0,20.0,IC8-TNH-352 S,营口_宁波
13,6.0,36.63636363636363,IC8-TNH-352 S,营口_宁波
14,7.0,85.36363636363636,IC8-TNH-352 S,营口_宁波
15,8.0,24.0,IC8-TNH-352 S,营口_宁波
16,9.0,27.454545454545453,IC8-TNH-352 S,营口_宁波
17,10.0,10.363636363636363,IC8-TNH-352 S,营口_宁波
18,11.0,11.090909090909092,IC8-TNH-352 S,营口_宁波
19,12.0,2.909090909090909,IC8-TNH-352 S,营口_宁波
20,13.0,7.363636363636363,IC8-TNH-352 S,营口_宁波
21,15.0,8.0,IC8-TNH-352 S,营口_宁波
22,17.0,7.2727272727272725,IC8-TNH-352 S,营口_宁波
23,20.0,8.090909090909092,IC8-TNH-352 S,营口_宁波
0,0.0,13.5,IC19-CAJ-160 N,钦州_宁波
1,1.0,29.625,IC19-CAJ-160 N,钦州_宁波
2,2.0,23.125,IC19-CAJ-160 N,钦州_宁波
3,3.0,47.0,IC19-CAJ-160 N,钦州_宁波
4,4.0,3.5,IC19-CAJ-160 N,钦州_宁波
5,5.0,2.0,IC19-CAJ-160 N,钦州_宁波
6,6.0,7.25,IC19-CAJ-160 N,钦州_宁波
7,7.0,37.75,IC19-CAJ-160 N,钦州_宁波
8,8.0,25.5,IC19-CAJ-160 N,钦州_宁波
9,9.0,4.0,IC19-CAJ-160 N,钦州_宁波
10,10.0,0.625,IC19-CAJ-160 N,钦州_宁波
11,12.0,14.75,IC19-CAJ-160 N,钦州_宁波
0,0.0,17.22222222222222,IC9-RZD-218 S,营口_福清
1,1.0,15.833333333333334,IC9-RZD-218 S,营口_福清
2,2.0,14.11111111111111,IC9-RZD-218 S,营口_福清
3,3.0,6.777777777777778,IC9-RZD-218 S,营口_福清
4,4.0,7.555555555555555,IC9-RZD-218 S,营口_福清
5,5.0,7.722222222222222,IC9-RZD-218 S,营口_福清
6,6.0,3.888888888888889,IC9-RZD-218 S,营口_福清
7,7.0,2.7777777777777777,IC9-RZD-218 S,营口_福清
8,8.0,1.8333333333333333,IC9-RZD-218 S,营口_福清
9,9.0,1.3888888888888888,IC9-RZD-218 S,营口_福清
10,10.0,0.2222222222222222,IC9-RZD-218 S,营口_福清
0,0.0,21.555555555555557,IC29-CAK-166 S,营口_钦州
1,1.0,58.888888888888886,IC29-CAK-166 S,营口_钦州
2,2.0,29.22222222222222,IC29-CAK-166 S,营口_钦州
3,3.0,43.111111111111114,IC29-CAK-166 S,营口_钦州
4,4.0,72.44444444444444,IC29-CAK-166 S,营口_钦州
5,5.0,4.888888888888889,IC29-CAK-166 S,营口_钦州
6,6.0,10.777777777777779,IC29-CAK-166 S,营口_钦州
7,7.0,18.444444444444443,IC29-CAK-166 S,营口_钦州
8,8.0,8.777777777777779,IC29-CAK-166 S,营口_钦州
9,9.0,0.2222222222222222,IC29-CAK-166 S,营口_钦州
10,11.0,1.5555555555555556,IC29-CAK-166 S,营口_钦州
11,12.0,0.1111111111111111,IC29-CAK-166 S,营口_钦州
0,0.0,18.470588235294116,IC5-R9J-143 N,上海_烟台
1,1.0,13.176470588235293,IC5-R9J-143 N,上海_烟台
2,2.0,3.5294117647058822,IC5-R9J-143 N,上海_烟台
3,3.0,1.1176470588235294,IC5-R9J-143 N,上海_烟台
4,4.0,0.5294117647058824,IC5-R9J-143 N,上海_烟台
5,5.0,0.4117647058823529,IC5-R9J-143 N,上海_烟台
6,6.0,0.23529411764705882,IC5-R9J-143 N,上海_烟台
7,7.0,0.11764705882352941,IC5-R9J-143 N,上海_烟台
8,8.0,0.058823529411764705,IC5-R9J-143 N,上海_烟台
9,9.0,0.17647058823529413,IC5-R9J-143 N,上海_烟台
10,11.0,0.058823529411764705,IC5-R9J-143 N,上海_烟台
0,0.0,6.636363636363637,IC50-LF2-441 S,乐从_营口
1,1.0,4.818181818181818,IC50-LF2-441 S,乐从_营口
2,2.0,10.954545454545455,IC50-LF2-441 S,乐从_营口
3,3.0,4.545454545454546,IC50-LF2-441 S,乐从_营口
4,4.0,6.136363636363637,IC50-LF2-441 S,乐从_营口
5,5.0,8.636363636363637,IC50-LF2-441 S,乐从_营口
6,6.0,2.3636363636363638,IC50-LF2-441 S,乐从_营口
7,7.0,3.0454545454545454,IC50-LF2-441 S,乐从_营口
8,8.0,0.13636363636363635,IC50-LF2-441 S,乐从_营口
9,9.0,1.0909090909090908,IC50-LF2-441 S,乐从_营口
10,10.0,0.3181818181818182,IC50-LF2-441 S,乐从_营口
11,11.0,0.13636363636363635,IC50-LF2-441 S,乐从_营口
12,12.0,0.3181818181818182,IC50-LF2-441 S,乐从_营口
13,15.0,0.09090909090909091,IC50-LF2-441 S,乐从_营口
